model,num_documents,gold_index,question,gold_answers,em_first_line,em_full,model_answer_failed,model_answer
gemini-2.5-flash,10,0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,False,"The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen of Germany. He received the prize in recognition of the extraordinary services he rendered by the discovery of ""remarkable rays"" (or x-rays)."
gemini-2.5-flash,10,0,when is the next deadpool movie being released,"May 18, 2018",1.0,1.0,False,"The next Deadpool movie, *Deadpool 2*, is scheduled to be released in the United States on May 18, 2018. A sequel, *Deadpool 3*, is also in development."
gemini-2.5-flash,10,0,the south west wind blows across nigeria between,till September,0.0,0.0,False,"The southwest wind, also known as the Tropical Maritime (MT) airmass, blows across Nigeria. It invades the southern part of Nigeria in February and reaches the northern part by June. This wind is responsible for Nigeria's rainy season."
gemini-2.5-flash,10,0,what does hp mean in war and order,hit points or health points,0.0,1.0,False,"Based on the provided documents, ""HP"" has different meanings depending on the context.  In the context of video games, particularly role-playing or strategy games, HP stands for **hit points** or **health points**. It indicates a character's or entity's state in combat. When HP reaches zero, the character may die, become incapacitated, or the enemy is defeated [1, 3, 10].  However, in the context of ""Order of War,"" a"
gemini-2.5-flash,10,0,who wrote the first declaration of human rights,Cyrus,0.0,0.0,False,"John Peters Humphrey is most famous as the author of the first draft of the Universal Declaration of Human Rights. He was a Canadian legal scholar, jurist, and human rights advocate. Humphrey was newly appointed as Director of the Division of Human Rights within the United Nations Secretariat when he produced this first draft. After consulting with the executive group of the Commission, chaired by Eleanor Roosevelt, Professor Humphrey prepared the first preliminary draft. The Universal Declaration of Human Rights was drafted from early 1947 to late"
gemini-2.5-flash,10,0,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,1.0,1.0,False,"Reading Football Club is 75% owned by Renhe Sports Management Ltd, which is 100% owned by Xiu Li Dai and Yongge Dai. The remaining 25% is owned by Narin Niruttinanon."
gemini-2.5-flash,10,0,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",1.0,1.0,False,The Philadelphia Eagles won Super Bowl LII.
gemini-2.5-flash,10,0,how many episodes are there in dragon ball z,291 episodes|291,1.0,1.0,False,"The original Japanese broadcast of *Dragon Ball Z* ran for 291 episodes. In the United States, it initially aired with 276 episodes, but all 291 episodes were later broadcast when content from the first 67 episodes was restored."
gemini-2.5-flash,10,0,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,False,"Raymond Unwin and Barry Parker designed the garden city of New Earswick. They were commissioned by Joseph Rowntree to produce an overall plan for the new ""garden"" village and the detailed designs for its first houses."
gemini-2.5-flash,10,0,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,1.0,1.0,False,"The earliest predecessors of the eye were photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots."" These eyespots can distinguish light from dark, which is sufficient for photoperiodism and synchronizing circadian rhythms. They are found in nearly all major animal groups and are common among unicellular organisms, such as the euglena, whose eyespot (stigma) is a small splotch of red pigment."
